Pressure,Temperature,Density - CoolProp,Thermal Conductivity - CoolProp,Dynamic Viscosity - CoolProp,Density - GasPak,Thermal Conductivity - GasPak,Dynamic Viscosity - GasPak
20000000.0,50,66.71154378936004,0.15005647180483306,5.446711373896032e-06,66.623111573763254,0.14841961963989211,8.9772183526447546e-06
20000000.0,51,66.0319994263585,0.14842530284131236,5.464751428062878e-06,65.942146915128745,0.14776970758987651,8.8296308890848836e-06
20000000.0,52,65.35307929630257,0.14683588490182575,5.48221309403563e-06,65.26210469411572,0.14710277745455405,8.6912510339617981e-06
20000000.0,53,64.67526432686239,0.14526411026509517,5.499045013625647e-06,64.583498291636246,0.14642367626991673,8.5613969204205795e-06
20000000.0,54,63.99903446643332,0.1437176600951885,5.515210258141237e-06,63.906805016493699,0.14573691171407929,8.4394461650756304e-06
20000000.0,55,63.32486632021228,0.14220342442053938,5.530684927583638e-06,63.232495654386504,0.14504673779765587,8.3248346270565681e-06
20000000.0,56,62.65323068640383,0.140727521485827,5.54545681141965e-06,62.561032196439015,0.14435714780845382,8.217049897933063e-06
20000000.0,57,61.98459005604708,0.1392953222240217,5.559524103110737e-06,61.892865609972638,0.1436718699752825,8.1156256080851484e-06
20000000.0,58,61.319396139657606,0.13791147939429446,5.572894165008175e-06,61.228433699159297,0.14299436559219886,8.0201364381754442e-06
20000000.0,59,60.6580874809806,0.13657996084868712,5.585582343592539e-06,60.568159099374853,0.14232782935999275,7.9301937412426656e-06
20000000.0,60,60.00108721285849,0.13530408631950464,5.59761083742364e-06,59.912447443091637,0.14167519172732332,7.8454416947849718e-06
20000000.0,61,59.348801002907855,0.13408656706522296,5.609007621666701e-06,59.261685727732576,0.14103912300519433,7.7655539136825398e-06
20000000.0,62,58.701615227954775,0.13292954767910523,5.619805433781875e-06,58.616240907719686,0.14042203906498252,7.6902304643914648e-06
20000000.0,63,58.059895405734316,0.13183464935057454,5.630040825001034e-06,57.976458724606495,0.13982610841664223,7.619195228930956e-06
20000000.0,64,57.42398490449504,0.1308030138881861,5.639753281823282e-06,57.342626934456788,0.1392531619239108,7.5521888802146422e-06
20000000.0,65,56.79420393682773,0.12983534782872536,5.6489844207539875e-06,56.715116267454562,0.13870509224558353,7.4889854656946127e-06
20000000.0,66,56.170848840040094,0.12893196602582763,5.65777725856764e-06,56.094170208113162,0.13818328492632151,7.4293628071972933e-06
20000000.0,67,55.5541916333584,0.12809283416200942,5.666175558990095e-06,55.480042813396309,0.13768901079131091,7.3731192452977516e-06
20000000.0,68,54.944479837155924,0.12731760970949887,5.674223255467809e-06,54.872964622128457,0.13722334271185829,7.3200676304695181e-06
20000000.0,69,54.341936533736465,0.12660568094543434,5.681963948452666e-06,54.273142822831403,0.13678716703614788,7.2700340291189755e-06
20000000.0,70,53.74676064543509,0.125956203710824,5.689440474528236e-06,53.680761589282071,0.13638119517548636,7.2228565665444272e-06
20000000.0,71,53.15912740348132,0.12536813568500643,5.696694543768542e-06,53.095982563081378,0.13600597520504792,7.178384390212153e-06
20000000.0,72,52.57918898006432,0.12484026802525805,5.7037664409786065e-06,52.518970484459068,0.13566196805122457,7.1364795750654311e-06
20000000.0,73,52.007075256153946,0.12437125429233056,5.710694785924502e-06,51.949784238630841,0.13534927502072946,7.0970038297863966e-06
20000000.0,74,51.442894698644686,0.12395963664552247,5.7175163473135055e-06,51.388560183835125,0.13506812182159675,7.0598385288971228e-06
20000000.0,75,50.88673532208276,0.12360386934450525,5.724265905116141e-06,50.835375520050604,0.13481851231029013,7.0248683139717179e-06
20000000.0,76,50.338665712391474,0.1233023396392553,5.730976155808496e-06,50.290289361168554,0.13460034333999729,6.991985093092215e-06
20000000.0,77,49.798736092438475,0.12305338616428249,5.7376776552294384e-06,49.75334351400884,0.13441341414008529,6.9610874576242267e-06
20000000.0,78,49.26697941182972,0.1228553149794841,5.74439879396578e-06,49.224563353858407,0.13425743543456323,6.932080160096179e-06
20000000.0,79,48.743412445709694,0.12270641341789756,5.751165800467153e-06,48.703958760515363,0.13413203820615341,6.9048736442376625e-06
20000000.0,80,48.22803689055497,0.12260496191373758,5.758002767476425e-06,48.191525088682774,0.13403678205135774,6.8793836201637179e-06
20000000.0,81,47.72084044506533,0.1225492439847601,5.764931697641897e-06,47.687244153466501,0.13397116309444912,6.8555306790702045e-06
20000000.0,82,47.2217978694271,0.12253755455073058,5.7719725647166025e-06,47.191085216594338,0.1339346214402973,6.83323994281576e-06
20000000.0,83,46.7308720151481,0.12256820675999923,5.7791433870112005e-06,46.703005962437409,0.13392654815763722,6.8124407445049966e-06
20000000.0,84,46.24801482076143,0.12263953749346568,5.786460310222029e-06,46.222953455426151,0.13394629179908477,6.793066336769876e-06
20000000.0,85,45.77316826952401,0.12274991170565598,5.793937697098807e-06,45.750865072324224,0.13399316446936879,6.7750536248800266e-06
20000000.0,86,45.3062653063948,0.12289772575279521,5.80158822176127e-06,45.286669404257168,0.13406644743701296,6.758342922178512e-06
20000000.0,87,44.84723071248277,0.12308140984683173,5.809422966789867e-06,44.830287124531438,0.13416539632779659,6.7428777256365459e-06
20000000.0,88,44.39598193589301,0.12329942976293959,5.8174515215036505e-06,44.381631819209268,0.13428924590259653,6.7286045095615468e-06
20000000.0,89,43.95242987849839,0.12355028791650163,5.825682080098761e-06,43.940610778188031,0.13443721443366194,6.715472535719227e-06
20000000.0,90,43.516479638641584,0.12383252391417948,5.834121538553887e-06,43.507125745203957,0.13460850771530028,6.7034336783044063e-06
